parent_id,child_id,link_type,evidence
form:menu_artprzf,prg:menusta,CALLS_PRG,menu_artprzf.scx
form:menu_artuld,form:elenco,OPENS_FORM,menu_artuld.scx
form:menu_artuld,prg:browseview,CALLS_PRG,menu_artuld.scx
form:menu_artze,prg:menusta,CALLS_PRG,menu_artze.scx
form:menu_asc000,form:elenco,OPENS_FORM,menu_asc000.scx
form:menu_asc000,form:valo000,OPENS_FORM,menu_asc000.scx
form:menu_asc000,prg:browseview,CALLS_PRG,menu_asc000.scx
form:menu_asc000,prg:menusta,CALLS_PRG,menu_asc000.scx
form:menu_asc000,prg:nullo,CALLS_PRG,menu_asc000.scx
form:menu_ass000,form:elenco,OPENS_FORM,menu_ass000.scx
form:menu_ass000,form:valo000,OPENS_FORM,menu_ass000.scx
form:menu_ass000,prg:menusta,CALLS_PRG,menu_ass000.scx
form:menu_ass000,prg:nullo,CALLS_PRG,menu_ass000.scx
form:menu_assban,form:bannew,OPENS_FORM,menu_assban.scx
form:menu_ast000,form:astmemo,OPENS_FORM,menu_ast000.scx
form:menu_ast000,form:aststa,OPENS_FORM,menu_ast000.scx
form:menu_ast000,form:desnew,OPENS_FORM,menu_ast000.scx
form:menu_ast000,form:elenco,OPENS_FORM,menu_ast000.scx
form:menu_ast000,prg:astesist,CALLS_PRG,menu_ast000.scx
form:menu_astannu,prg:browseview,CALLS_PRG,menu_astannu.scx
form:menu_astdos,form:elenco,OPENS_FORM,menu_astdos.scx
form:menu_astdos,prg:astdire,CALLS_PRG,menu_astdos.scx
form:menu_astloca,form:astmemo,OPENS_FORM,menu_astloca.scx
form:menu_astloca,form:desnew,OPENS_FORM,menu_astloca.scx
form:menu_astloca,form:elenco,OPENS_FORM,menu_astloca.scx
form:menu_astloca,prg:astesist,CALLS_PRG,menu_astloca.scx
form:menu_astloca,prg:nullo,CALLS_PRG,menu_astloca.scx
form:menu_astsfol,prg:browseview,CALLS_PRG,menu_astsfol.scx
form:menu_astsfol,prg:menusta,CALLS_PRG,menu_astsfol.scx
form:menu_astsitu,form:astsitu2,OPENS_FORM,menu_astsitu.scx
form:menu_astsitu,form:elenco,OPENS_FORM,menu_astsitu.scx
form:menu_astsitu,prg:menusta,CALLS_PRG,menu_astsitu.scx
form:menu_attivita,prg:menusta,CALLS_PRG,menu_attivita.scx
form:menu_attivitanc_annu,prg:browseview,CALLS_PRG,menu_attivitanc_annu.scx
form:menu_attivitanc_multi,prg:browseview,CALLS_PRG,menu_attivitanc_multi.scx
form:menu_attrag,form:elenco,OPENS_FORM,menu_attrag.scx
form:menu_attrag,prg:browseview,CALLS_PRG,menu_attrag.scx
form:menu_attrag2,form:elenco,OPENS_FORM,menu_attrag2.scx
form:menu_attrag2,prg:browseview,CALLS_PRG,menu_attrag2.scx
form:menu_aut000,form:autstam,OPENS_FORM,menu_aut000.scx
form:menu_aut000,form:autvis,OPENS_FORM,menu_aut000.scx
form:menu_aut000,form:elenco,OPENS_FORM,menu_aut000.scx
