object_id,file,object_type,name,description,new_location
form:conv_pdc_gil,form/conv_pdc_gil.scx,FORM,conv_pdc_gil,,
form:conv_pdc_onda,form/conv_pdc_onda.scx,FORM,conv_pdc_onda,,
form:conv_primanota_arca,form/conv_primanota_arca.scx,FORM,conv_primanota_arca,,
form:conv_primanota_assolo,form/conv_primanota_assolo.scx,FORM,conv_primanota_assolo,,
form:conv_primanota_assolo_ape_chi,form/conv_primanota_assolo_ape_chi.scx,FORM,conv_primanota_assolo_ape_chi,,
form:conv_primanota_gil,form/conv_primanota_gil.scx,FORM,conv_primanota_gil,,
form:conv_primanota_onda,form/conv_primanota_onda.scx,FORM,conv_primanota_onda,,
form:conv_rap_gil,form/conv_rap_gil.scx,FORM,conv_rap_gil,,
form:conv_sconti_articolo_onda,form/conv_sconti_articolo_onda.scx,FORM,conv_sconti_articolo_onda,,
form:costi_produzione,form/costi_produzione.scx,FORM,costi_produzione,Valutazione dei costi di produzione,
form:cq_mp_sta,form/cq_mp_sta.scx,FORM,cq_mp_sta,,
form:creorf1,form/creorf1.scx,FORM,creorf1,,
form:crepro1,form/crepro1.scx,FORM,crepro1,,
form:dad_avanza,form/dad_avanza.scx,FORM,dad_avanza,Avanzamento Pressatura Pannelli Truciolari,
form:dad_avanza_input,form/dad_avanza_input.scx,FORM,dad_avanza_input,,
form:dad_avanza_scarti,form/dad_avanza_scarti.scx,FORM,dad_avanza_scarti,,
form:dad_programmaz_manuale,form/dad_programmaz_manuale.scx,FORM,dad_programmaz_manuale,,
form:dad_programmaz_selord,form/dad_programmaz_selord.scx,FORM,dad_programmaz_selord,,
form:dad_programmazione,form/dad_programmazione.scx,FORM,dad_programmazione,Programmazione della produzione dadi pressati,
form:dad_ricicla_scarti,form/dad_ricicla_scarti.scx,FORM,dad_ricicla_scarti,Riciclo da scarti di produzione dadi pressati,
form:dad_trasforma_1_in_2,form/dad_trasforma_1_in_2.scx,FORM,dad_trasforma_1_in_2,Trasformazione automatica bancali di 1° scelta in 2°,
form:dati_angaisa,form/dati_angaisa.scx,FORM,dati_angaisa,,
form:dati_angaisa_selart,form/dati_angaisa_selart.scx,FORM,dati_angaisa_selart,,
form:dati_artprod,form/dati_artprod.scx,FORM,dati_artprod,,
form:dati_bob,form/dati_bob.scx,FORM,dati_bob,,
form:dati_bob_carte_grezze,form/dati_bob_carte_grezze.scx,FORM,dati_bob_carte_grezze,,
form:dati_bob_insman,form/dati_bob_insman.scx,FORM,dati_bob_insman,,
form:dati_bobped,form/dati_bobped.scx,FORM,dati_bobped,,
form:dati_bobres,form/dati_bobres.scx,FORM,dati_bobres,,
form:dati_bombola,form/dati_bombola.scx,FORM,dati_bombola,,
form:dati_bombole,form/dati_bombole.scx,FORM,dati_bombole,,
form:dati_bombole_acq,form/dati_bombole_acq.scx,FORM,dati_bombole_acq,,
form:dati_carte,form/dati_carte.scx,FORM,dati_carte,,
form:dati_colla,form/dati_colla.scx,FORM,dati_colla,,
form:dati_colla_insman,form/dati_colla_insman.scx,FORM,dati_colla_insman,,
form:dati_collares,form/dati_collares.scx,FORM,dati_collares,,
form:dati_dadi_pressati,form/dati_dadi_pressati.scx,FORM,dati_dadi_pressati,,
form:dati_fiscale,form/dati_fiscale.scx,FORM,dati_fiscale,,
form:dati_fiscali,form/dati_fiscali.scx,FORM,dati_fiscali,,
form:dati_legno,form/dati_legno.scx,FORM,dati_legno,,
form:dati_lif_tt,form/dati_lif_tt.scx,FORM,dati_lif_tt,,
form:dati_lis_tt,form/dati_lis_tt.scx,FORM,dati_lis_tt,,
form:dati_mandrini,form/dati_mandrini.scx,FORM,dati_mandrini,,
form:dati_mandrini_insman,form/dati_mandrini_insman.scx,FORM,dati_mandrini_insman,,
form:dati_retail,form/dati_retail.scx,FORM,dati_retail,,
form:deslingue_gest,form/deslingue_gest.scx,FORM,deslingue_gest,,
form:deslingue_stam,form/deslingue_stam.scx,FORM,deslingue_stam,,
form:desnew,form/desnew.scx,FORM,desnew,,
form:dichiarazione_intento_clienti,form/dichiarazione_intento_clienti.scx,FORM,dichiarazione_intento_clienti,,
form:dichiarazione_intento_fornitori,form/dichiarazione_intento_fornitori.scx,FORM,dichiarazione_intento_fornitori,,
form:discbfo,form/discbfo.scx,FORM,discbfo,,
form:discbfo_sta,form/discbfo_sta.scx,FORM,discbfo_sta,,
form:disimpord_tt,form/disimpord_tt.scx,FORM,disimpord_tt,,
form:disimporf_tt,form/disimporf_tt.scx,FORM,disimporf_tt,,
form:documenti,form/documenti.scx,FORM,documenti,,
form:dupl_list_cliart_sta,form/dupl_list_cliart_sta.scx,FORM,dupl_list_cliart_sta,,
form:edit_note,form/edit_note.scx,FORM,edit_note,,
form:elenco,form/elenco.scx,FORM,elenco,,
form:elenco_ecash,form/elenco_ecash.scx,FORM,elenco_ecash,,
form:elenco_new,form/elenco_new.scx,FORM,elenco_new,,
form:elenco_pg,form/elenco_pg.scx,FORM,elenco_pg,,
form:elenco_vuoti,form/elenco_vuoti.scx,FORM,elenco_vuoti,,
form:elenco_x_blackbox,form/elenco_x_blackbox.scx,FORM,elenco_x_blackbox,Configurazione BlackBox: elenco tabelle e campi soggetti a LOG,
form:email,form/email.scx,FORM,email,,
form:esposizione,form/esposizione.scx,FORM,esposizione,,
form:esposizione_for,form/esposizione_for.scx,FORM,esposizione_for,,
form:esposizione_packing,form/esposizione_packing.scx,FORM,esposizione_packing,,
form:fann000,form/fann000.scx,FORM,fann000,,
form:fanni210,form/fanni210.scx,FORM,fanni210,,
form:fanniclo,form/fanniclo.scx,FORM,fanniclo,,
form:fannicpy,form/fannicpy.scx,FORM,fannicpy,,
form:fannycpy,form/fannycpy.scx,FORM,fannycpy,,
form:fatchage,form/fatchage.scx,FORM,fatchage,Cambia il codice agente in archivio fatture,
form:fatture_incassate,form/fatture_incassate.scx,FORM,fatture_incassate,,
form:fatturep_incassate,form/fatturep_incassate.scx,FORM,fatturep_incassate,,
form:forart,form/forart.scx,FORM,forart,,
form:form,form/form.scx,FORM,form,,
form:formconf,form/formconf.scx,FORM,formconf,,
form:ftp000,form/ftp000.scx,FORM,ftp000,Anagrafica FTP,
form:gestione_scorte_minime,form/gestione_scorte_minime.scx,FORM,gestione_scorte_minime,,
